qli_id,quote_id,product_name,discount_percent,discount_type
QLI161859,Q0011,AWS Enterprise Gemini Model Serving,20,Add-on
QLI605579,Q0011,AWS Databricks Storage,3,Add-on
QLI819660,Q0011,AWS Enterprise Clean Rooms Collaborator,0,Cross Service Family
QLI832020,Q0011,AWS Enterprise All-Purpose Compute (Photon),0,Cross Service Family
QLI480648,Q0021,AWS Enterprise DLT Pro Compute (Photon),10,Cross Service Family
QLI641026,Q0021,AWS Enterprise Model Training,0,Add-on
QLI268128,Q0022,AWS Enterprise DLT Core Compute,20,Cross Service Family
QLI177445,Q0022,AWS Enterprise Anthropic Model Serving,8,Add-on
QLI442529,Q0022,AWS Enterprise Database Serverless Compute,20,Cross Service Family
QLI689920,Q0022,AWS Enterprise All-Purpose Compute,20,Cross Service Family
QLI896773,Q0031,AWS Inter-Availability Zone Egress,7,Add-on
QLI311014,Q0031,AWS Enterprise All-Purpose Serverless Compute,25,Cross Service Family
QLI380256,Q0032,AWS Enterprise All-Purpose Serverless Compute,25,Cross Service Family
QLI647462,Q0032,AWS Inter-Region Egress,7,Add-on
QLI713445,Q0032,AWS Enterprise Anthropic Model Serving,4,Add-on
QLI774186,Q0032,AWS Enterprise Jobs Compute (Photon),25,Cross Service Family
QLI637528,Q0041,AWS Enterprise All-Purpose Compute (Photon),0,Cross Service Family
QLI937142,Q0041,AWS Enterprise DLT Advanced Compute,0,Cross Service Family
QLI830208,Q0041,AWS Enterprise DLT Advanced Compute (Photon),0,Cross Service Family
QLI375401,Q0041,AWS Enterprise Anthropic Model Serving,3,Add-on
QLI186844,Q0051,AWS Enterprise All-Purpose Compute (Photon),20,Cross Service Family
QLI171404,Q0051,AWS Public Connectivity Data Processed,17,Add-on
QLI873743,Q0051,AWS Private Connectivity Endpoint,2,Add-on
QLI300174,Q0051,AWS Enterprise DLT Core Compute (Photon),20,Cross Service Family
QLI726174,Q0051,AWS Enterprise SQL Pro Compute,20,Cross Service Family
QLI350415,Q0061,AWS Enterprise Anthropic Model Serving,18,Add-on
QLI661049,Q0061,AWS Enterprise DLT Core Compute,10,Cross Service Family
QLI398102,Q0061,AWS Enterprise DLT Pro Compute (Photon),10,Cross Service Family
QLI165044,Q0071,AWS Enterprise SQL Pro Compute,25,Cross Service Family
QLI283404,Q0071,AWS Inter-Region Egress,13,Add-on
QLI194289,Q0072,AWS Enterprise OpenAI Model Serving,1,Add-on
QLI705566,Q0072,AWS Enterprise Jobs Compute,0,Cross Service Family
QLI928472,Q0072,AWS Enterprise Model Training,0,Add-on
QLI917294,Q0081,AWS Enterprise All-Purpose Compute (Photon),15,Cross Service Family
QLI318231,Q0081,AWS Enterprise DLT Advanced Compute,15,Cross Service Family
QLI785269,Q0082,AWS Private Connectivity Data Processed,2,Add-on
QLI744839,Q0082,AWS Enterprise Serverless SQL Compute,10,Cross Service Family
QLI498935,Q0082,AWS Enterprise Database Serverless Compute,10,Cross Service Family
QLI191528,Q0091,AWS Enterprise Jobs Light Compute,0,Cross Service Family
QLI380874,Q0091,AWS Private Connectivity Endpoint,6,Add-on
QLI870018,Q0091,AWS Enterprise All-Purpose Serverless Compute,0,Cross Service Family
QLI210180,Q0091,AWS Enterprise SQL Pro Compute,0,Cross Service Family
QLI257485,Q0101,AWS Enterprise SQL Pro Compute,10,Cross Service Family
QLI970008,Q0101,AWS Public Connectivity Data Processed,7,Add-on
QLI940893,Q0101,AWS Enterprise DLT Core Compute,10,Cross Service Family
QLI884648,Q0101,AWS Enterprise All-Purpose Compute,10,Cross Service Family
QLI855039,Q0102,AWS Public Connectivity Data Processed,16,Add-on
QLI403438,Q0102,AWS Enterprise All-Purpose Compute (Photon),30,Cross Service Family
QLI848797,Q0102,AWS Private Connectivity Endpoint,19,Add-on
QLI593852,Q0111,AWS Enterprise All-Purpose Compute,10,Cross Service Family
QLI966724,Q0111,AWS Enterprise DLT Pro Compute,10,Cross Service Family
QLI949483,Q0112,AWS Enterprise DLT Core Compute,5,Cross Service Family
QLI498184,Q0112,AWS Enterprise DLT Pro Compute,5,Cross Service Family
QLI530121,Q0112,AWS Enterprise All-Purpose Serverless Compute,5,Cross Service Family
QLI832733,Q0112,AWS Enterprise Anthropic Model Serving,0,Add-on
