contract_id,account_id,start_date,end_date,total_commit_value,term_months,trailing_3_months,annualized_t3m
C001,A001,31-May-2025,30-May-2026,1850000,12,347000,1388000
C002,A002,30-Nov-2026,29-Nov-2027,750000,12,159000,636000
C003,A003,31-Oct-2025,30-Oct-2027,2150000,24,255000,1020000
C004,A004,31-Oct-2026,30-Oct-2027,3500000,12,875000,3500000
C005,A005,31-Jan-2025,30-Jan-2026,4150000,12,1141000,4564000
C006,A006,28-Feb-2025,27-Feb-2026,550000,12,165000,660000
C007,A007,31-Oct-2024,30-Oct-2027,4600000,36,479000,1916000
C008,A008,31-Jul-2023,30-Jul-2026,1250000,36,94000,376000
C009,A009,31-Mar-2024,30-Mar-2026,2150000,24,309000,1236000
C010,A010,28-Feb-2025,27-Feb-2027,1600000,24,150000,600000
C011,A011,28-Feb-2025,27-Feb-2026,2150000,12,457000,1828000
C012,A012,30-Jun-2024,29-Jun-2027,3800000,36,301000,1204000
C013,A013,28-Feb-2024,27-Feb-2026,1200000,24,150000,600000
C014,A014,30-Jun-2025,29-Jun-2027,1300000,24,179000,716000
C015,A015,30-Sep-2024,29-Sep-2026,4800000,24,720000,2880000
C016,A016,31-Dec-2024,30-Dec-2027,1550000,36,161000,644000
C017,A017,31-Jul-2026,30-Jul-2027,2300000,12,518000,2072000
C018,A018,30-Nov-2024,29-Nov-2026,4300000,24,618000,2472000
C019,A019,28-Feb-2024,27-Feb-2027,900000,36,56000,224000
C020,A020,31-Mar-2024,30-Mar-2026,1500000,24,159000,636000
C021,A021,31-Dec-2025,30-Dec-2026,2050000,12,487000,1948000
C022,A022,31-May-2026,30-May-2027,2700000,12,675000,2700000
C023,A023,28-Feb-2025,27-Feb-2027,2800000,24,385000,1540000
C024,A024,30-Nov-2024,29-Nov-2026,2900000,24,435000,1740000
C025,A025,31-May-2025,30-May-2027,4900000,24,766000,3064000
