quote_id,opportunity_id,cross_service_discount_percent,annual_commit,term_months,total_contract_value,requested_rollover,business_justification,payment_terms,requested_deal_investment,demand_planning_complete,quote_memo_modified,quote_age_hours
Q0011,O0011,0,200000,36,600000,10,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. A deal investment of $10,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Rollover, which should be reviewed alongside the commercial exception.",Net 30,10000,Yes,Yes,1
Q0021,O0021,10,250000,36,750000,5,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $25,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 5% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,25000,No,Yes,2
Q0022,O0022,20,2800000,12,2800000,10,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $420,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 60,420000,Yes,Yes,3
Q0031,O0031,25,2800000,24,5600000,15,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $140,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 15% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 30,140000,No,Yes,4
Q0032,O0032,25,2750000,36,8250000,20,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $275,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 20% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 45,275000,Yes,Yes,5
Q0041,O0041,0,1550000,36,4650000,10,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. A deal investment of $232,000 (15.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 10% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Rollover, which should be reviewed alongside the commercial exception.",Net 30,232000,Yes,Yes,6
Q0051,O0051,20,2550000,36,7650000,8,"Customer is requesting a 20% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $255,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The customer is requesting 8% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Because rollover is requested without a completed demand plan, Finance and Practice Manager review should confirm the commit is appropriately sized and that unused balance will not mask adoption risk. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,255000,No,Yes,7
Q0061,O0061,10,1500000,36,4500000,12,"Customer is requesting a 10% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. The customer is also requesting Net 60 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $75,000 (5.0% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 12% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Renewal, which should be reviewed alongside the commercial exception.",Net 60,75000,Yes,Yes,8
Q0071,O0071,25,1350000,12,1350000,0,"Customer is requesting a 25% cross-service discount to align the commercial proposal with budget expectations and competitive alternatives. A deal investment of $135,000 (10.0% of annual commit) is requested to support adoption, implementation, or expansion activities. Demand planning is not complete, so the business case depends on Practice Manager validation of delivery scope, capacity, and the customer consumption plan. The quote is a high-value 12-month commitment, so leadership should consider whether a multi-year structure would better protect expansion and renewal outcomes. The supporting memo includes modified terms for Usage / Overages, which should be reviewed alongside the commercial exception.",Net 30,135000,No,Yes,9
Q0072,O0072,0,550000,24,1100000,18,"Customer is not requesting cross-service discounting, but the quote still requires review for the non-pricing exceptions included in the request. The customer is also requesting Net 45 payment terms, so Finance should validate cash-flow, billing, and collections impact before approval. A deal investment of $82,000 (14.9% of annual commit) is requested to support adoption, implementation, or expansion activities. The customer is requesting 18% rollover of unused committed spend to reduce perceived renewal risk and provide flexibility while workloads ramp. Finance should confirm the rollover cap does not weaken renewal economics, forecast quality, or future consumption discipline. The supporting memo includes modified terms for Publicity / Reference Rights, which should be reviewed alongside the commercial exception.",Net 45,82000,Yes,Yes,10
